Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070247,2017,04,13,0.0,,N
IDCJAC0009,070247,2017,04,14,0.0,1,N
IDCJAC0009,070247,2017,04,15,0.0,,N
IDCJAC0009,070247,2017,04,16,0.0,,N
IDCJAC0009,070247,2017,04,17,0.0,,N
IDCJAC0009,070247,2017,04,18,0.0,,N
IDCJAC0009,070247,2017,04,19,0.4,1,N
IDCJAC0009,070247,2017,04,20,0.0,,N
IDCJAC0009,070247,2017,04,21,0.0,,N
IDCJAC0009,070247,2017,04,22,0.3,1,N
IDCJAC0009,070247,2017,04,23,0.0,,N
IDCJAC0009,070247,2017,04,24,0.2,1,N
IDCJAC0009,070247,2017,04,25,3.0,1,N
IDCJAC0009,070247,2017,04,26,8.3,1,N
IDCJAC0009,070247,2017,04,27,5.2,1,N
IDCJAC0009,070247,2017,04,28,0.0,,N
IDCJAC0009,070247,2017,04,29,0.0,,N
IDCJAC0009,070247,2017,04,30,0.0,,N
IDCJAC0009,070247,2017,05,01,0.0,,N
IDCJAC0009,070247,2017,05,02,0.0,,N
IDCJAC0009,070247,2017,05,03,0.0,,N
IDCJAC0009,070247,2017,05,04,0.0,,N
IDCJAC0009,070247,2017,05,05,0.0,,N
IDCJAC0009,070247,2017,05,06,0.6,1,N
IDCJAC0009,070247,2017,05,07,0.0,1,N
IDCJAC0009,070247,2017,05,08,0.0,,N
IDCJAC0009,070247,2017,05,09,0.0,,N
IDCJAC0009,070247,2017,05,10,0.0,,N
IDCJAC0009,070247,2017,05,11,0.0,,N
IDCJAC0009,070247,2017,05,12,0.0,,N
IDCJAC0009,070247,2017,05,13,0.0,,N
IDCJAC0009,070247,2017,05,14,0.0,,N
IDCJAC0009,070247,2017,05,15,8.0,1,N
IDCJAC0009,070247,2017,05,16,0.0,1,N
IDCJAC0009,070247,2017,05,17,0.0,,N
IDCJAC0009,070247,2017,05,18,0.0,,N
IDCJAC0009,070247,2017,05,19,0.0,,N
IDCJAC0009,070247,2017,05,20,36.6,1,N
IDCJAC0009,070247,2017,05,21,0.0,1,N
IDCJAC0009,070247,2017,05,22,0.0,,N
IDCJAC0009,070247,2017,05,23,0.0,,N
IDCJAC0009,070247,2017,05,24,1.2,1,N
IDCJAC0009,070247,2017,05,25,0.0,1,N
IDCJAC0009,070247,2017,05,26,0.0,,N
IDCJAC0009,070247,2017,05,27,0.0,,N
IDCJAC0009,070247,2017,05,28,0.0,,N
IDCJAC0009,070247,2017,05,29,0.1,1,N
IDCJAC0009,070247,2017,05,30,0.0,,N
IDCJAC0009,070247,2017,05,31,0.0,,N
IDCJAC0009,070247,2017,06,01,0.0,,N
IDCJAC0009,070247,2017,06,02,0.0,,N
IDCJAC0009,070247,2017,06,03,0.0,,N
IDCJAC0009,070247,2017,06,04,0.0,,N
IDCJAC0009,070247,2017,06,05,0.0,,N
IDCJAC0009,070247,2017,06,06,0.2,1,N
IDCJAC0009,070247,2017,06,07,0.0,1,N
IDCJAC0009,070247,2017,06,08,0.0,,N
IDCJAC0009,070247,2017,06,09,0.2,1,N
IDCJAC0009,070247,2017,06,10,0.0,,N
IDCJAC0009,070247,2017,06,11,0.0,,N
IDCJAC0009,070247,2017,06,12,0.0,,N
IDCJAC0009,070247,2017,06,13,0.0,,N
IDCJAC0009,070247,2017,06,14,0.0,,N
IDCJAC0009,070247,2017,06,15,0.0,,N
IDCJAC0009,070247,2017,06,16,0.0,,N
IDCJAC0009,070247,2017,06,17,0.0,,N
IDCJAC0009,070247,2017,06,18,0.0,,N
IDCJAC0009,070247,2017,06,19,0.0,,N
IDCJAC0009,070247,2017,06,20,0.0,1,N
IDCJAC0009,070247,2017,06,21,0.0,1,N
IDCJAC0009,070247,2017,06,22,0.0,,N
IDCJAC0009,070247,2017,06,23,0.0,,N
IDCJAC0009,070247,2017,06,24,0.0,,N
IDCJAC0009,070247,2017,06,25,0.0,,N
IDCJAC0009,070247,2017,06,26,0.0,,N
IDCJAC0009,070247,2017,06,27,0.0,,N
IDCJAC0009,070247,2017,06,28,0.0,,N
IDCJAC0009,070247,2017,06,29,0.0,,N
IDCJAC0009,070247,2017,06,30,0.0,,N
IDCJAC0009,070247,2017,07,01,0.0,,N
IDCJAC0009,070247,2017,07,02,0.0,,N
IDCJAC0009,070247,2017,07,03,0.0,,N
IDCJAC0009,070247,2017,07,04,0.0,1,N
IDCJAC0009,070247,2017,07,05,0.0,1,N
IDCJAC0009,070247,2017,07,06,3.1,1,N
IDCJAC0009,070247,2017,07,07,0.6,1,N
IDCJAC0009,070247,2017,07,08,0.0,1,N
IDCJAC0009,070247,2017,07,09,0.2,1,N
IDCJAC0009,070247,2017,07,10,0.0,1,N
IDCJAC0009,070247,2017,07,11,0.0,,N
IDCJAC0009,070247,2017,07,12,0.0,,N
IDCJAC0009,070247,2017,07,13,0.0,,N
IDCJAC0009,070247,2017,07,14,0.0,,N
IDCJAC0009,070247,2017,07,15,0.5,1,N
IDCJAC0009,070247,2017,07,16,0.0,,N
IDCJAC0009,070247,2017,07,17,0.0,1,N
IDCJAC0009,070247,2017,07,18,5.0,1,N
IDCJAC0009,070247,2017,07,19,0.0,,N
IDCJAC0009,070247,2017,07,20,0.0,,N
IDCJAC0009,070247,2017,07,21,0.0,,N
IDCJAC0009,070247,2017,07,22,0.0,,N
IDCJAC0009,070247,2017,07,23,0.0,,N
IDCJAC0009,070247,2017,07,24,0.0,,N
IDCJAC0009,070247,2017,07,25,0.0,,N
IDCJAC0009,070247,2017,07,26,0.4,1,N
IDCJAC0009,070247,2017,07,27,0.0,1,N
IDCJAC0009,070247,2017,07,28,2.6,1,N
IDCJAC0009,070247,2017,07,29,0.0,1,N
IDCJAC0009,070247,2017,07,30,0.0,1,N
IDCJAC0009,070247,2017,07,31,6.0,1,N
IDCJAC0009,070247,2017,08,01,9.8,1,N
IDCJAC0009,070247,2017,08,02,0.0,1,N
IDCJAC0009,070247,2017,08,03,0.0,1,N
IDCJAC0009,070247,2017,08,04,18.1,1,N
IDCJAC0009,070247,2017,08,05,2.2,1,N
IDCJAC0009,070247,2017,08,06,0.2,1,N
IDCJAC0009,070247,2017,08,07,4.0,1,N
IDCJAC0009,070247,2017,08,08,4.0,1,N
IDCJAC0009,070247,2017,08,09,0.0,,N
IDCJAC0009,070247,2017,08,10,0.0,,N
IDCJAC0009,070247,2017,08,11,0.0,,N
IDCJAC0009,070247,2017,08,12,0.0,,N
IDCJAC0009,070247,2017,08,13,0.0,,N
IDCJAC0009,070247,2017,08,14,0.0,,N
IDCJAC0009,070247,2017,08,15,0.0,,N
IDCJAC0009,070247,2017,08,16,3.8,1,N
IDCJAC0009,070247,2017,08,17,0.0,1,N
IDCJAC0009,070247,2017,08,18,5.2,1,N
IDCJAC0009,070247,2017,08,19,0.0,1,N
IDCJAC0009,070247,2017,08,20,0.0,,N
IDCJAC0009,070247,2017,08,21,0.0,,N
IDCJAC0009,070247,2017,08,22,0.0,,N
IDCJAC0009,070247,2017,08,23,0.0,,N
IDCJAC0009,070247,2017,08,24,0.0,,N
IDCJAC0009,070247,2017,08,25,0.0,,N
IDCJAC0009,070247,2017,08,26,0.0,,N
IDCJAC0009,070247,2017,08,27,0.0,,N
IDCJAC0009,070247,2017,08,28,3.8,1,N
IDCJAC0009,070247,2017,08,29,0.0,,N
IDCJAC0009,070247,2017,08,30,0.0,,N
IDCJAC0009,070247,2017,08,31,0.0,,N
IDCJAC0009,070247,2017,09,01,0.0,,N
IDCJAC0009,070247,2017,09,02,0.0,,N
IDCJAC0009,070247,2017,09,03,1.0,1,N
IDCJAC0009,070247,2017,09,04,0.0,,N
IDCJAC0009,070247,2017,09,05,2.0,1,N
IDCJAC0009,070247,2017,09,06,2.5,1,N
IDCJAC0009,070247,2017,09,07,1.3,1,N
IDCJAC0009,070247,2017,09,08,0.9,1,N
